// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 1 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet restore  /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 /p:Deterministic=true /p:Optimize=true in E:\Talentelgia\MySQLVSPostgresWithReact\Benchmarking\bin\Release\netcoreapp3.1\a1006ea2-e905-4e06-adde-9fd733a4db8b
// command took 3.72s and exited with 0
// start dotnet build -c Release  --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 /p:Deterministic=true /p:Optimize=true in E:\Talentelgia\MySQLVSPostgresWithReact\Benchmarking\bin\Release\netcoreapp3.1\a1006ea2-e905-4e06-adde-9fd733a4db8b
// command took 5.03s and exited with 0
// ***** Done, took 00:00:08 (8.91 sec)   *****
// Found 1 benchmarks:
//   IntroStopOnFirstError.CallCorrectMethod: DefaultJob

// **************************
// Benchmark: IntroStopOnFirstError.CallCorrectMethod: DefaultJob
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "a1006ea2-e905-4e06-adde-9fd733a4db8b.dll" --benchmarkName "Benchmarking.IntroStopOnFirstError.CallCorrectMethod" --job "Default" --benchmarkId 0 in E:\Talentelgia\MySQLVSPostgresWithReact\Benchmarking\bin\Release\netcoreapp3.1\a1006ea2-e905-4e06-adde-9fd733a4db8b\bin\Release\netcoreapp3.1
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.1.12 (CoreCLR 4.700.21.6504, CoreFX 4.700.21.6905), X64 RyuJIT
// GC=Concurrent Workstation
// Job: DefaultJob

OverheadJitting  1: 1 op, 403100.00 ns, 403.1000 us/op
WorkloadJitting  1: 1 op, 438900.00 ns, 438.9000 us/op

OverheadJitting  2: 16 op, 811300.00 ns, 50.7062 us/op
WorkloadJitting  2: 16 op, 291500.00 ns, 18.2188 us/op

WorkloadPilot    1: 16 op, 900.00 ns, 56.2500 ns/op
WorkloadPilot    2: 32 op, 800.00 ns, 25.0000 ns/op
WorkloadPilot    3: 64 op, 1700.00 ns, 26.5625 ns/op
WorkloadPilot    4: 128 op, 2000.00 ns, 15.6250 ns/op
WorkloadPilot    5: 256 op, 2300.00 ns, 8.9844 ns/op
WorkloadPilot    6: 512 op, 3900.00 ns, 7.6172 ns/op
WorkloadPilot    7: 1024 op, 7100.00 ns, 6.9336 ns/op
WorkloadPilot    8: 2048 op, 13500.00 ns, 6.5918 ns/op
WorkloadPilot    9: 4096 op, 25600.00 ns, 6.2500 ns/op
WorkloadPilot   10: 8192 op, 62800.00 ns, 7.6660 ns/op
WorkloadPilot   11: 16384 op, 104000.00 ns, 6.3477 ns/op
WorkloadPilot   12: 32768 op, 214300.00 ns, 6.5399 ns/op
WorkloadPilot   13: 65536 op, 428200.00 ns, 6.5338 ns/op
WorkloadPilot   14: 131072 op, 849000.00 ns, 6.4774 ns/op
WorkloadPilot   15: 262144 op, 2094600.00 ns, 7.9903 ns/op
WorkloadPilot   16: 524288 op, 5161700.00 ns, 9.8452 ns/op
WorkloadPilot   17: 1048576 op, 7415300.00 ns, 7.0718 ns/op
WorkloadPilot   18: 2097152 op, 17540900.00 ns, 8.3642 ns/op
